"item","Feature","vars","n","Importance","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","LB","UB"
"16","DFUWI",1,8,93.471644548735,8.80389279842397,99.504648737837,93.471644548735,0.734407781282893,80.9715764041061,100,19.0284235958939,-0.453857815666533,-1.95094928527717,3.1126461493025,87.3708580961021,99.5724310013679
"13","DaysToFYClose",1,8,81.7558433544923,15.1745132059569,82.2065861613275,81.7558433544923,18.9888175635979,60.8130711112822,100,39.1869288887178,-0.047964670547931,-1.81821715818621,5.36500059456849,71.2404421891381,92.2712445198466
"75","TransUnits",1,8,72.0109265202401,34.2490070820677,84.6514433205613,72.0109265202401,19.8888805486387,17.9356555587786,100,82.0643444412214,-0.766749581152225,-1.3558732746144,12.1088525783181,48.2775754667367,95.7442775737435
"69","PrevGPA",1,8,61.3851815366202,35.1807281523771,67.582906391272,61.3851815366202,47.0098873301693,16.8974514624499,100,83.1025485375501,-0.110005653416578,-2.01755771568991,12.4382657218132,37.0061807218664,85.764182351374
"14","DegreeAwardType",1,8,53.192661052934,7.54806696065276,54.8682258140084,53.192661052934,4.48145273475677,41.7966437711283,63.2315530144436,21.4349092433153,-0.435416000835109,-1.39309943051941,2.66864466636385,47.9621175068608,58.4232045990071
"11","DaysSinceLastAtt",1,8,44.4363086897562,39.8461968679457,47.5821234124014,44.4363086897562,54.8910557155832,0.45936964487893,85.9169130896402,85.4575434447613,-0.025137319035547,-2.18056942910995,14.0877580049093,16.824303000134,72.0483143793784
"5","AGI_PerCapita",1,8,43.7471018787024,40.1954525667364,46.6327625846127,43.7471018787024,55.2135201097798,2.39889177544425,85.0469873512059,82.6480955757617,-0.013862140153096,-2.20170740277945,14.2112385414008,15.8930743375569,71.6011294198479
"7","CIP2D",1,8,41.717644402995,20.2895314499184,42.2058186000702,41.717644402995,28.7953819063938,20.3203454244049,62.8042016216694,42.4838561972644,-0.004533952803072,-2.20587561085916,7.17343263766752,27.6577164331667,55.7775723728234
"12","DaysToFC",1,8,37.3557214600413,33.8459870401598,38.9516124107908,37.3557214600413,47.6337209400369,1.71572359694677,72.2991770027676,70.5834534058209,-0.010273700350064,-2.2041529158499,11.9663634760245,13.9016490470333,60.8097938730494
"3","Age",1,8,30.796916568418,28.1615593161069,32.2990175372775,30.796916568418,37.8213429195267,2.13560621014922,58.5094925969288,56.3738863867795,-0.009694870372241,-2.21916575090848,9.95661478060319,11.2819515984357,50.3118815384002
