"item","Feature","vars","n","Importance","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","LB","UB"
"16","DFUWI",1,36,86.5922144158643,13.2218845020472,81.9616076998283,87.5906439493701,6.97483957576537,35.0861147757241,100,64.9138852242759,-1.3709431231272,3.84250077264429,2.20364741700788,82.2730654785288,90.9113633531997
"14","DegreeAwardType",1,36,76.3078990138228,23.864610852187,88.0186116622569,77.8774623919239,17.763606349538,26.5716720514712,100,73.4283279485288,-0.373974143352684,-1.48732007436011,3.97743514203117,68.5121261354417,84.1036718922039
"13","DaysToFYClose",1,36,73.2606548472177,23.8334335711383,86.4244376193244,74.9831336479483,10.6836303104028,26.5981066633242,100,73.4018933366758,-0.778372286394248,-1.01504111788483,3.97223892852305,65.4750665473126,81.0462431471229
"71","RelativePerf",1,36,67.5121767053868,32.2146732296565,68.5952827404832,69.1354894177463,46.5606338089595,7.84563298302387,100,92.1543670169761,-0.220336221634506,-1.64130694275796,5.36911220494275,56.988716783699,78.0356366270746
"61","P_RFA",1,36,50.3538418350125,25.3928564736421,59.1117415773025,51.4411926642841,27.5350987084078,9.84942976229015,77.6839112173995,67.8344814551094,-0.279882797274311,-1.6776860344147,4.23214274560701,42.0588420536228,58.6488416164023
"20","FCD_FYQ",1,36,41.086059989161,34.6246833794928,23.9289583672113,41.2292113098643,34.5176535188996,0,80.3091934180225,80.3091934180225,0.131775890105104,-1.93449779750965,5.77078056324881,29.7753300851933,52.3967898931286
"7","CIP2D",1,36,40.5472252352774,21.3330606352096,46.9670789408151,40.7046329166172,17.9670936579053,0,100,100,0.069512753078633,-0.087627904488773,3.55551010586827,33.5784254277756,47.5160250427792
"70","Probation",1,36,40.4578095387803,15.7096169836361,45.1428571428572,41.3972567218086,8.11820683203582,9.13642959223186,81.1984213856903,72.0619917934584,-0.508785791921422,0.321578268903645,2.61826949727269,35.3260013241258,45.5896177534347
"75","TransUnits",1,36,37.2906676724441,35.7006842660145,14.1732259133764,34.6349060178216,12.6915857155095,0,100,100,0.566451245829257,-1.42563030030639,5.95011404433576,25.6284441455461,48.9528911993422
"23","LearningGrp",1,36,36.8406350670817,29.0051205960012,22.6487332481643,37.3196975831128,33.5790119137284,0,68.8906449738525,68.8906449738525,0.09187029283029,-1.90778053509648,4.8341867660002,27.3656290057213,46.3156411284421
"74","TeachingGrp",1,36,34.3681795001609,28.99101038163,28.7344840281278,34.6083166038123,42.6017460201023,0,66.3349879638084,66.3349879638084,0.021680442645648,-1.90330749171224,4.831835063605,24.8977827754951,43.8385762248268
"1","ActiveDuty",1,36,28.6346470181818,12.3373339607493,30.0355843408997,29.1484254960577,15.7226778794543,10.0205751347163,41.4148460727095,31.3942709379931,-0.218982101564337,-1.75205413479636,2.05622232679156,24.6044512576704,32.6648427786933
"69","PrevGPA",1,36,25.8924385966529,26.2084942369471,14.2301651863534,21.3187396689323,4.07621095779769,0,100,100,1.80087323228876,2.0901918699422,4.36808237282452,17.3309971459169,34.453880047389
"11","DaysSinceLastAtt",1,36,25.4971121846302,22.9696207620637,18.3022163194156,22.3348274068253,6.99180035669775,0,85.9169130896402,85.9169130896402,1.39899452207218,1.23998064042926,3.82827012701062,17.9937027356894,33.000521633571
"3","Age",1,36,24.3757587192405,16.9977769812308,22.6185772391467,23.5083175699104,15.3741327748658,0,58.5094925969288,58.5094925969288,0.29356123877721,-0.645596426416534,2.83296283020513,18.8231515720385,29.9283658664426
"67","PrevAtt4Yr",1,27,21.9092447987181,15.4828797303861,27.8290817153248,22.3028402281368,14.4062668595783,0,41.0383087275784,41.0383087275784,-0.41908940172528,-1.62753167079117,2.97968159338968,16.0690688756743,27.7494207217619
"68","PrevDegLvl",1,36,21.8062759269951,20.6190016138276,17.4857142857142,18.9066449224354,6.35458235558373,0,76.1999484626564,76.1999484626564,1.57051947571156,1.35788875245988,3.43650026897127,15.0707353998114,28.5418164541788
"66","PrevAtt2Yr",1,36,21.7802949531054,18.2227624819641,16.5295405652428,21.7856990824378,24.506696842029,0,43.506548612887,43.506548612887,0.057903754758541,-1.8818623796633,3.03712708032735,15.8275258756638,27.733064030547
"63","P_SOC",1,36,20.1362444719342,14.823851262111,19.3569541701431,20.4620734936929,21.9434357589009,0,36.9142857142857,36.9142857142857,-0.076679303967931,-1.80501146966454,2.47064187701849,15.293786392978,24.9787025508905
"41","P_BOM",1,36,19.8670316142214,18.1108447056569,12.434205770071,19.2234336263438,18.4349534747073,0,63.5387007502291,63.5387007502291,0.299480651462749,-1.32326720977407,3.01847411760948,13.9508223437068,25.783240884736
"18","Ethnicity",1,36,18.6053925434513,12.4727428435223,21.7536201197915,18.0960701718614,6.74531735012011,0,42.5729847965357,42.5729847965357,0.165638399473109,-0.563888713568823,2.07879047392038,14.5309632145674,22.6798218723353
"25","MilitaryYN",1,36,17.6839196129364,15.8628252616202,8.22726562965929,17.7202512353097,12.1977440225329,0,35.00452300214,35.00452300214,0.111995454928022,-1.95610818909346,2.64380421027004,12.5020633608072,22.8657758650657
"21","Gender",1,36,16.4301159984963,10.2492974253757,19.0777787000913,16.1095975186241,7.30537472831469,0,36.6185908886101,36.6185908886101,0.079358869548679,-0.543468890510174,1.70821623756262,13.0820121728736,19.7782198241191
"5","AGI_PerCapita",1,36,16.1881748497237,23.8737084619024,11.3142820230324,11.2177467752219,8.52463430106406,0,85.0469873512059,85.0469873512059,2.16446070653348,3.20272161159902,3.97895141031706,8.38943008550225,23.9869196139451
"8","ClassCPE",1,36,16.1681003713463,14.9731876103344,6.67752297863601,16.1331490170441,9.90009556812575,0,32.6857142857143,32.6857142857143,0.091750285654308,-1.97052858589973,2.49553126838907,11.2768590853037,21.0593416573889
"37","OnlineOnly",1,36,15.8592372189055,9.03073828412787,19.0878907509033,16.4408304111354,7.28269317271071,0,28.589827051112,28.589827051112,-0.585428112232305,-1.18544013365756,1.50512304735465,12.9091960460904,18.8092783917206
"10","ClassLength_avg",1,36,14.8982058243988,10.5051300924573,23.1661971426623,15.4609827438053,1.48622541967565,0,24.1686424547328,24.1686424547328,-0.475594882639824,-1.69154941457513,1.75085501540955,11.4665299941961,18.3298816546015
"51","P_FAC",1,36,14.8192618598866,12.1258541074745,13.0559671635499,14.7415573199926,18.2589030833208,0,35.7501440585517,35.7501440585517,-0.005638202693029,-1.76344990508424,2.02097568457909,10.8581495181116,18.7803742016617
"24","MaritalStat",1,36,14.4863197170283,10.8874003490603,14.2011455134058,13.2995123086475,8.2700418543762,0,44.2383604470755,44.2383604470755,0.83252741928885,0.781179155289418,1.81456672484339,10.9297689363352,18.0428704977213
"54","P_FBA",1,36,13.8478928852795,12.6769684844853,6.92430684593452,13.8506824218214,10.2659773297825,0,28.3750997868463,28.3750997868463,0.059931355008187,-1.98840348819757,2.11282808074755,9.70674984701425,17.9890359235447
"52","P_FAO",1,36,13.7110937532867,11.1734695152569,9.39778934317301,13.8412004921679,13.9331624801883,0,26.1211201177609,26.1211201177609,-0.022044418556922,-1.87156161674671,1.86224491920948,10.0610937116361,17.3610937949373
"73","SIC_avg",1,36,12.7096780093765,16.8129441365362,8.3177554577903,9.45671282582076,8.58125227880217,0,60.2150093106667,60.2150093106667,1.94112668729326,2.58869753805324,2.80215735608937,7.21744959144132,18.2019064273116
"4","AGI",1,36,12.5935871896899,10.4398276768538,11.6068066738607,11.2776404405752,6.46349132175323,0,40.5104935360216,40.5104935360216,1.23495301972043,1.17149579324727,1.73997127947563,9.18324348191766,16.0039308974621
"65","ParentHiEd",1,36,12.4531922874189,7.8253382638436,17.5683561157146,12.9281927066517,4.30251520087372,0,22.2368841540881,22.2368841540881,-0.636483671280603,-1.30460466717463,1.30422304397393,9.89691512122998,15.0094694536078
"28","N_BLK",1,36,12.4043307333174,9.94534258906896,9.92322375721811,12.5766254514095,14.7121715424516,0,23.0857142857143,23.0857142857143,-0.043181556830794,-1.81117729290283,1.65755709817816,9.15551882088825,15.6531426457466
"12","DaysToFC",1,36,10.7356670137785,21.1608149856805,3.23091226031379,5.89158717811337,3.83460747119836,0,72.2991770027676,72.2991770027676,2.2575568485593,3.41433713867946,3.52680249761342,3.82313411845615,17.6481999091008
"19","FAFSAby",1,36,10.7323093216128,8.08390864411844,11.9669594427456,10.6670043583435,9.16010353320854,0,27.9263720310671,27.9263720310671,-0.053593111868397,-1.38118881550887,1.34731810735307,8.09156583120077,13.3730528120248
"45","P_BV3",1,36,10.4893415766922,9.24993457154358,8.50209644868173,9.03839294534214,2.47495180518455,0,36.7612945391908,36.7612945391908,1.71168771982899,2.22678768686978,1.54165576192393,7.46769628332127,13.5109868700631
"17","EFC",1,36,9.87948520457977,7.25523412795475,10.1630281397858,9.26020638546114,5.81665401364167,0,26.9366989898589,26.9366989898589,0.710200729046222,0.079263377746505,1.20920568799246,7.50944205611455,12.249528353045
"59","P_OffsiteDisc",1,36,9.04077056475422,7.13707895221773,9.73911096975006,8.29590416369391,3.55866593770781,0,27.8777350566586,27.8777350566586,0.875408635779934,0.566521626827896,1.18951315870296,6.70932477369643,11.372216355812
"9","Classes",1,36,8.50063924570449,6.55815676892189,11.5582574618429,8.27009314158592,1.71076220403511,0,26.9491054534341,26.9491054534341,0.179243095501902,-0.29209204511966,1.09302612815365,6.35830803452334,10.6429704568856
"38","P_B2B",1,36,7.57119856688037,5.54595255160272,11.1967204030631,7.75418491205025,2.74478137841328,0,13.7171929870643,13.7171929870643,-0.355206858841997,-1.76567063245262,0.92432542526712,5.75952073335681,9.38287640040392
"31","N_ECD",1,36,6.02052884049909,5.33978621928778,5.44822269405118,5.44368760830317,7.34150503379967,0,24.3700212796892,24.3700212796892,1.1063174390991,1.72659512048277,0.889964369881297,4.27619867553175,7.76485900546643
"76","Units",1,36,5.88723566467891,3.62223612015646,6.29962269586581,5.91089978980748,3.24772469330273,0,12.436743317272,12.436743317272,-0.397705729624566,-0.998529190825066,0.603706020026076,4.70397186542781,7.07049946393002
"26","N_BCW",1,36,5.72887626606258,4.93734051419622,7.42857142857145,5.43666371518239,4.78264619582568,0,21.8307899357777,21.8307899357777,0.67323179315462,0.824114538842654,0.82289008569937,4.11601169809181,7.34174083403334
"64","P_VaTuit",1,36,5.70360870040512,4.32088984119465,7.02336614618286,5.42556667841736,4.47513445634629,0,19.7472035346838,19.7472035346838,0.632482747998423,1.0629507081622,0.720148306865776,4.2921180189482,7.11509938186204
